,Employee_Name,EmpID,Salary,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,EmploymentStatus,Department,ManagerName,PerformanceScore,Absences,Location,Partner,Amnt_Denied_Leave_Request,Remainding_Leave_Days,Carried_Over_Leave_Days,Cumulative_Leave_Days,Salary_LIABILITY,Leave_Liability
125,"Harrison, Kara",231667,43690,05/02/74,F,Married,5/12/2014,Active,Active,Sales and Distribution       ,Amy Dunn,Exceeds,5,Kilifi,Sheer Logic,3,11,5,16,168.03846153846155,2688.6153846153848
126,"Heitzman, Anthony",231711,82096,01/04/84,M ,Single,8/13/2012,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,1,Mumias,Sheer Logic,4,7,2,9,315.75384615384615,2841.7846153846153
127,"Hendrickson, Trina",232073,138172,08/27/72,F,Single,1/10/2011,6/18/2013,Voluntarily Terminated,Sales and Distribution       ,Kelley Spirea,Fully Meets,15,Donholm,Sheer Logic,3,6,3,9,531.4307692307692,4782.876923076923
128,"Hitchcock, Alfred",237300,143640,09/14/88,M ,Married,8/18/2014,Active,Active,Sales,John Smith,Fully Meets,9,Bungoma,Fine Media,1,20,6,26,552.4615384615385,14364.0
129,"Homberger, Adrienne  J",239484,92412,02/16/84,F,Married,8/15/2011,4/7/2012,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Fully Meets,16,Karen,Sheer Logic,1,13,2,15,355.4307692307692,5331.461538461538
130,"Horton, Jayne",235759,54828,02/21/84,F,Single,3/30/2015,Active,Active,Customer Experince,Simon Roup,Fully Meets,4,Diani,Sheer Logic,3,19,5,24,210.87692307692308,5061.046153846154
131,"Houlihan, Debra",233673,84818,03/17/66,F,Married,5/5/2014,Active,Active,Sales,Janet King,Fully Meets,19,Nakuru,Sheer Logic,3,8,6,14,326.2230769230769,4567.123076923077
132,"Howard, Estelle",232502,65024,09/16/85,F,Married,2/16/2015,4/15/2015,Terminated for Cause,Admin Offices,Brandon R. LeBlanc,Fully Meets,6,Murang’a,Fine Media,4,18,2,20,250.09230769230768,5001.846153846153
133,"Hudson, Jane",237916,144365,06/10/86,F,Single,2/20/2012,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,4,Bungoma,Fine Media,1,13,6,19,555.25,10549.75
134,"Hunts, Julissa",232893,69523,03/11/84,F,Single,6/6/2016,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,4,South C,Fine Media,2,15,3,18,267.3961538461538,4813.130769230769
135,"Hutter, Rosalie",237897,103802,05/07/92,F,Separated,6/5/2015,Active,Active,Sales and Distribution       ,Webster Butler,Fully Meets,6,Karen,Sheer Logic,4,20,7,27,399.23846153846154,10779.43846153846
136,"Huynh, Ming",239808,122670,09/22/76,F,Divorced,2/21/2011,4/1/2013,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,18,Umoja,Fine Media,2,16,3,19,471.8076923076923,8964.346153846154
137,"Immediato, Walter",235641,45733,11/15/76,M ,Married,2/21/2011,9/24/2012,Voluntarily Terminated,Sales and Distribution       ,Janet King,Needs Improvement,4,Kilifi,Fine Media,3,7,4,11,175.89615384615385,1934.8576923076923
138,"Ivey, Rose ",236730,42234,01/28/91,F,Single,8/19/2013,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,14,Mumias,Sheer Logic,4,20,4,24,162.43846153846152,3898.5230769230766
139,"Jackson, Maryellen",231903,69372,09/11/72,F,Single,11/5/2012,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,7,Diani,Sheer Logic,1,17,2,19,266.81538461538463,5069.492307692308
140,"Jacobi, Hannah  ",238862,118353,03/22/66,F,Divorced,9/30/2013,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,7,Vihiga,Sheer Logic,3,11,3,14,455.20384615384614,6372.8538461538465
141,"Jeannite, Tayana",235101,132685,11/06/86,F,Divorced,7/5/2011,Active,Active,Sales and Distribution       ,Ketsia Liebig,Exceeds,11,Lang’ata,Fine Media,1,10,2,12,510.3269230769231,6123.923076923077
142,"Jhaveri, Sneha  ",236706,86986,04/13/64,F,Separated,1/6/2014,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,9,Vihiga,Sheer Logic,3,15,5,20,334.5615384615385,6691.2307692307695
143,"Johnson, George",236643,148780,08/19/59,M ,Married,11/7/2011,4/29/2018,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Exceeds,9,Kakamega,Fine Media,1,12,6,18,572.2307692307693,10300.153846153848
144,"Johnson, Noelle ",232854,95931,11/07/86,F,Married,1/5/2015,Active,Active,Customer Experince,Simon Roup,Fully Meets,2,Kilifi,Sheer Logic,2,13,4,17,368.9653846153846,6272.411538461538
145,"Johnston, Yen",238364,94024,09/08/69,F,Single,7/7/2014,Active,Active,Sales and Distribution       ,Brannon Miller,Exceeds,1,Naivasha,Sheer Logic,1,11,6,17,361.6307692307692,6147.723076923076
146,"Jung, Judy  ",233107,137217,04/17/86,F,Married,1/10/2011,4/1/2016,Voluntarily Terminated,Sales and Distribution       ,Elijiah Gray,Fully Meets,4,Thika,Fine Media,4,14,5,19,527.7576923076923,10027.396153846154
147,"Kampew, Donysha",235224,37576,11/11/89,F,Single,11/7/2011,4/24/2014,Voluntarily Terminated,Sales,Debra Houlihan,Fully Meets,2,Nakuru,Fine Media,4,15,6,21,144.52307692307693,3034.9846153846156
148,"Keatts, Kramer ",238388,63299,01/19/76,M ,Single,9/30/2013,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,10,Kirinyaga,Sheer Logic,1,12,4,16,243.4576923076923,3895.3230769230768
149,"Khemmich, Bartholemew",236685,31602,11/27/79,M ,Single,8/19/2013,Active,Active,Sales,Lynn Daneault,Fully Meets,13,Lang’ata,Fine Media,3,7,4,11,121.54615384615384,1337.0076923076922
150,"King, Janet",234920,108827,09/21/54,F,Married,7/2/2012,Active,Active,Executive Office,Board of Directors,Fully Meets,10,Kibra,Sheer Logic,2,12,4,16,418.56538461538463,6697.046153846154
151,"Kinsella, Kathleen  ",232302,137548,12/08/73,F,Married,9/26/2011,6/4/2015,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,16,Malindi,Sheer Logic,3,18,7,25,529.0307692307692,13225.76923076923
152,"Kirill, Alexandra  ",234737,126194,10/08/70,F,Married,9/26/2011,1/9/2014,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,6,Kiambu,Fine Media,2,8,3,11,485.3615384615385,5338.976923076923
153,"Knapp, Bradley  J",238043,38006,11/10/77,M ,Single,2/17/2014,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,3,Lang’ata,Sheer Logic,2,15,3,18,146.1769230769231,2631.1846153846154
154,"Kretschmer, John",239927,144420,02/02/80,M ,Married,1/10/2011,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,17,Eastleigh,Fine Media,4,18,3,21,555.4615384615385,11664.692307692307
155,"Kreuger, Freddy",231249,72023,02/24/69,M ,Single,3/7/2011,Active,Active,Sales,John Smith,Fully Meets,20,Kirinyaga,Fine Media,3,15,4,19,277.01153846153846,5263.219230769231
156,"Lajiri,  Jyoti",238270,92689,04/23/86,M ,Married,11/10/2014,Active,Active,Customer Experince,Peter Monroe,Fully Meets,7,Diani,Sheer Logic,4,18,6,24,356.49615384615385,8555.907692307692
157,"Landa, Hans",233640,114378,07/01/72,M ,Married,1/10/2011,12/12/2015,Terminated for Cause,Sales and Distribution       ,Janet King,Fully Meets,9,Kibra,Fine Media,4,19,7,26,439.9153846153846,11437.8
158,"Langford, Lindsey",239985,46531,07/25/79,F,Divorced,1/7/2013,3/31/2014,Voluntarily Terminated,Sales and Distribution       ,David Stanley,Fully Meets,20,Kericho,Sheer Logic,3,6,5,11,178.9653846153846,1968.6192307692306
159,"Langton, Enrico",232411,39477,12/09/86,M ,Married,7/9/2012,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,13,Kiambu,Fine Media,1,12,4,16,151.83461538461538,2429.353846153846
160,"LaRotonda, William  ",238976,54042,04/26/84,M ,Divorced,1/6/2014,Active,Active,Admin Offices,Brandon R. LeBlanc,Fully Meets,3,Bomet,Fine Media,4,6,4,10,207.85384615384615,2078.5384615384614
161,"Latif, Mohammed",239344,128668,05/09/84,M ,Married,4/2/2012,4/15/2013,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,20,Nakuru,Fine Media,2,20,7,27,494.87692307692305,13361.676923076922
162,"Le, Binh",235822,111514,06/14/87,F,Single,10/2/2016,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,2,Kericho,Sheer Logic,2,15,4,19,428.9,8149.099999999999
163,"Leach, Dallas",235908,100955,01/17/79,F,Single,9/26/2011,8/19/2018,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,17,Nyeri,Sheer Logic,1,20,7,27,388.28846153846155,10483.788461538461
164,"LeBlanc, Brandon  R",233443,110808,06/10/84,M ,Married,1/5/2016,Active,Active,Admin Offices,Janet King,Fully Meets,20,Kakamega,Fine Media,3,14,7,21,426.18461538461537,8949.876923076923
165,"Lecter, Hannibal",232960,108008,09/02/82,M ,Married,5/14/2012,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,10,Nyeri,Fine Media,1,6,6,12,415.4153846153846,4984.984615384616
166,"Leruth, Giovanni",231306,116892,12/27/88,M ,Separated,4/30/2012,Active,Active,Sales,John Smith,Fully Meets,16,Eldoret,Sheer Logic,1,14,6,20,449.5846153846154,8991.692307692309
167,"Liebig, Ketsia",231747,133004,10/26/81,F,Married,9/30/2013,Active,Active,Sales and Distribution       ,Janet King,Exceeds,11,Murang’a,Sheer Logic,4,8,4,12,511.55384615384617,6138.6461538461535
168,"Linares, Marilyn ",231228,44606,03/26/81,F,Married,7/5/2011,9/26/2018,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Fully Meets,16,Mombasa,Sheer Logic,2,14,4,18,171.56153846153848,3088.1076923076926
169,"Linden, Mathew",232699,30013,03/19/79,M ,Married,7/8/2013,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,7,Kibra,Fine Media,1,10,2,12,115.43461538461538,1385.2153846153847
170,"Lindsay, Leonara ",235238,45809,10/05/88,F,Single,1/21/2011,Active,Active,Customer Experince,Eric Dougall,Exceeds,14,Donholm,Fine Media,3,20,3,23,176.18846153846152,4052.334615384615
171,"Lundy, Susan",234371,46621,12/26/76,F,Widowed,7/8/2013,9/15/2016,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Fully Meets,15,Kakamega,Sheer Logic,3,15,3,18,179.31153846153848,3227.6076923076926
172,"Lunquist, Lisa",236248,40871,03/28/82,F,Single,8/19/2013,Active,Active,Sales and Distribution       ,Elijiah Gray,Exceeds,19,Murang’a,Sheer Logic,4,18,2,20,157.19615384615383,3143.9230769230767
173,"Lydon, Allison",235882,114196,10/22/75,F,Married,2/16/2015,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,6,Karen,Fine Media,2,16,5,21,439.2153846153846,9223.523076923077
174,"Lynch, Lindsay",233350,110750,02/14/73,F,Single,11/7/2011,11/14/2015,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Exceeds,17,Kariobangi,Fine Media,3,18,2,20,425.96153846153845,8519.23076923077
175,"MacLennan, Samuel",231174,62134,11/09/72,M ,Widowed,9/24/2012,9/26/2017,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,18,Karen,Sheer Logic,3,7,7,14,238.97692307692307,3345.6769230769232
176,"Mahoney, Lauren  ",236928,128655,07/07/86,F,Single,1/6/2014,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,14,Nyeri,Sheer Logic,3,13,2,15,494.8269230769231,7422.403846153847
177,"Manchester, Robyn",239499,51615,08/25/76,F,Married,5/11/2016,Active,Active,Sales and Distribution       ,Webster Butler,Fully Meets,4,Umoja,Fine Media,2,11,2,13,198.51923076923077,2580.75
178,"Mancuso, Karen",235647,48912,12/10/86,F,Married,7/5/2011,8/19/2012,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,16,Kibra,Fine Media,3,14,6,20,188.12307692307692,3762.4615384615386
179,"Mangal, Debbie",239957,120189,11/07/74,F,Married,11/11/2013,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,11,Lang’ata,Fine Media,2,20,4,24,462.2653846153846,11094.36923076923
180,"Martin, Sandra",231153,84787,11/07/87,F,Single,11/11/2013,Active,Active,Human Resource,Alex Sweetwater,Fully Meets,14,Kakamega,Sheer Logic,1,7,5,12,326.1038461538462,3913.246153846154
181,"Maurice, Shana",234791,100348,11/22/77,F,Married,5/31/2011,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,8,South C,Sheer Logic,2,6,4,10,385.95384615384614,3859.5384615384614
182,"Carthy, B'rigit",231871,40359,05/21/87,F,Single,3/30/2015,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,16,Karen,Sheer Logic,1,18,4,22,155.22692307692307,3414.992307692308
183,"Mckenna, Sandy",237053,89049,01/07/87,F,Married,1/7/2013,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,20,Busia,Fine Media,1,18,4,22,342.49615384615385,7534.915384615385
184,"McKinzie, Jac",238705,114185,07/01/84,M ,Married,7/6/2016,Active,Active,Sales,Lynn Daneault,Fully Meets,7,Diani,Sheer Logic,4,13,4,17,439.1730769230769,7465.942307692308
185,"Meads, Elizabeth",232697,97694,05/30/68,F,Single,4/2/2012,11/11/2016,Voluntarily Terminated,Sales and Distribution       ,Kelley Spirea,Fully Meets,17,Malindi,Fine Media,1,17,3,20,375.74615384615385,7514.923076923077
186,"Medeiros, Jennifer",235833,124528,09/22/76,F,Single,3/30/2015,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,10,Nakuru,Fine Media,2,12,5,17,478.95384615384614,8142.215384615384
187,"Miller, Brannon",239827,112946,08/10/81,M ,Single,8/16/2012,Active,Active,Sales and Distribution       ,Janet King,Fully Meets,2,Mumias,Sheer Logic,1,8,6,14,434.4076923076923,6081.707692307692
188,"Miller, Ned",238104,80435,06/29/85,M ,Single,8/15/2011,9/4/2014,Voluntarily Terminated,Sales and Distribution       ,Brannon Miller,PIP,6,Kiambu,Fine Media,1,9,7,16,309.36538461538464,4949.846153846154
189,"Monkfish, Erasumus",237885,76867,08/17/92,M ,Married,11/7/2011,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,14,Donholm,Sheer Logic,1,11,7,18,295.64230769230767,5321.561538461538
190,"Monroe, Peter",234168,112846,10/05/86,M ,Married,2/15/2012,Active,Active,Customer Experince,Jennifer Zamora,Needs Improvement,13,Kilifi,Sheer Logic,4,19,6,25,434.0230769230769,10850.576923076924
191,"Monterro, Luisa",233956,71526,04/24/70,F,Single,5/13/2013,Active,Active,Sales and Distribution       ,Kissy Sullivan,Exceeds,1,Kibra,Fine Media,3,15,3,18,275.1,4951.8
192,"Moran, Patrick",233254,80799,12/03/76,M ,Single,1/9/2012,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,12,Eldoret,Sheer Logic,2,16,6,22,310.7653846153846,6836.838461538462
193,"Morway, Tanya",238332,138339,04/04/79,F,Married,2/16/2015,Active,Active,Customer Experince,Peter Monroe,Fully Meets,6,Nyeri,Sheer Logic,3,15,2,17,532.0730769230769,9045.242307692308
194,"Motlagh,  Dawn",234093,75024,07/07/84,F,Divorced,4/1/2013,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,18,Mumias,Fine Media,3,14,5,19,288.55384615384617,5482.5230769230775
195,"Moumanil, Maliki ",237162,84627,12/01/74,M ,Separated,5/13/2013,Active,Active,Sales and Distribution       ,Michael Albert,Fully Meets,11,Kericho,Fine Media,1,10,6,16,325.48846153846154,5207.815384615385
196,"Myers, Michael",235602,40573,04/18/80,M ,Single,7/8/2013,Active,Active,Sales and Distribution       ,Kissy Sullivan,Fully Meets,13,Naivasha,Fine Media,2,14,3,17,156.05,2652.8500000000004
197,"Navathe, Kurt",235047,138208,04/25/70,M ,Single,2/10/2017,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,17,Donholm,Sheer Logic,3,16,4,20,531.5692307692308,10631.384615384615
198,"Ndzi, Colombui",235134,141942,05/02/89,M ,Single,9/26/2011,4/4/2014,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,19,Malindi,Sheer Logic,4,16,5,21,545.9307692307692,11464.546153846153
199,"Ndzi, Horia",233694,138086,03/28/83,M ,Married,4/1/2013,5/25/2016,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,10,Bomet,Sheer Logic,3,16,6,22,531.1,11684.2
200,"Newman, Richard ",235272,114932,04/08/77,M ,Married,5/12/2014,Active,Active,Sales and Distribution       ,Ketsia Liebig,Fully Meets,11,Bomet,Fine Media,4,7,7,14,442.04615384615386,6188.6461538461535
201,"Ngodup, Shari ",232267,45559,06/03/67,F,Separated,4/1/2013,Active,Active,Sales and Distribution       ,Brannon Miller,Exceeds,12,Mombasa,Fine Media,3,19,4,23,175.22692307692307,4030.2192307692308
202,"Nguyen, Dheepa",239775,148741,03/31/89,F,Single,7/8/2013,Active,Active,Sales,Lynn Daneault,Fully Meets,2,Busia,Sheer Logic,2,16,6,22,572.0807692307692,12585.776923076923
203,"Nguyen, Lei-Ming",231127,82245,07/07/84,F,Single,7/8/2013,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,4,Lamu,Sheer Logic,1,18,3,21,316.3269230769231,6642.865384615385
204,"Nowlan, Kristie",231170,77014,11/23/85,F,Single,11/10/2014,Active,Active,Sales and Distribution       ,Elijiah Gray,Fully Meets,5,Nyeri,Fine Media,3,10,3,13,296.2076923076923,3850.7
205,"O'hare, Lynn",235808,137935,09/30/80,F,Single,3/31/2014,5/1/2018,Terminated for Cause,Sales and Distribution       ,Kissy Sullivan,PIP,3,Kericho,Sheer Logic,1,13,4,17,530.5192307692307,9018.826923076922
206,"Oliver, Brooke ",236819,32362,02/11/52,F,Married,5/14/2012,8/19/2013,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Fully Meets,17,Kariobangi,Fine Media,1,16,3,19,124.46923076923076,2364.9153846153845
207,"Onque, Jasmine",238839,111080,05/11/90,F,Single,9/30/2013,Active,Active,Sales,Lynn Daneault,Fully Meets,1,Kilifi,Sheer Logic,2,14,5,19,427.2307692307692,8117.384615384615
208,"Osturnka, Adeel",235599,80906,12/11/76,M ,Married,9/30/2013,Active,Active,Sales and Distribution       ,Kelley Spirea,Exceeds,13,Nyeri,Sheer Logic,1,11,6,17,311.17692307692306,5290.007692307692
209,"Owad, Clinton",232482,62217,11/24/79,M ,Single,2/17/2014,Active,Active,Sales and Distribution       ,Michael Albert,Needs Improvement,6,Mumias,Sheer Logic,4,19,5,24,239.29615384615386,5743.107692307693
210,"Ozark, Travis",237503,84062,05/19/82,M ,Single,1/5/2015,Active,Active,Sales,John Smith,Fully Meets,18,Kiambu,Fine Media,3,17,2,19,323.31538461538463,6142.992307692308
211,"Panjwani, Nina",232619,59754,05/01/79,F,Married,2/7/2011,1/12/2014,Voluntarily Terminated,Sales and Distribution       ,Elijiah Gray,Fully Meets,7,Bomet,Fine Media,4,14,7,21,229.8230769230769,4826.284615384615
212,"Patronick, Lucas",237431,121177,02/20/79,M ,Single,11/7/2011,9/7/2015,Voluntarily Terminated,Human Resource,Alex Sweetwater,Exceeds,13,South C,Sheer Logic,4,10,2,12,466.06538461538463,5592.784615384616
213,"Pearson, Randall",235886,40979,09/05/84,M ,Married,12/1/2014,5/1/2016,Voluntarily Terminated,Customer Experince,Simon Roup,Fully Meets,19,Westlands,Sheer Logic,3,17,2,19,157.61153846153846,2994.619230769231
214,"Smith, Martin",234781,95052,03/17/88,M ,Single,1/10/2011,12/28/2017,Voluntarily Terminated,Sales and Distribution       ,Webster Butler,Needs Improvement,15,Nyeri,Sheer Logic,2,15,4,19,365.5846153846154,6946.107692307693
215,"Pelletier, Ermine",238796,52417,07/18/89,F,Married,7/5/2011,9/15/2015,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Needs Improvement,2,Karen,Fine Media,4,19,6,25,201.60384615384615,5040.096153846153
216,"Perry, Shakira",232170,33248,07/20/86,F,Single,5/16/2011,10/25/2015,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,5,Eastleigh,Sheer Logic,4,10,6,16,127.87692307692308,2046.0307692307692
217,"Peters, Lauren",237097,131902,08/17/86,F,Married,5/16/2011,2/4/2013,Voluntarily Terminated,Sales and Distribution       ,Ketsia Liebig,Exceeds,12,Westlands,Fine Media,1,17,5,22,507.31538461538463,11160.938461538462
218,"Peterson, Ebonee  ",232315,54176,05/09/77,F,Married,10/25/2010,5/18/2016,Voluntarily Terminated,Sales and Distribution       ,Janet King,Fully Meets,6,Nakuru,Fine Media,3,19,6,25,208.36923076923077,5209.2307692307695
219,"Petingill, Shana  ",238215,100377,03/10/79,F,Married,4/2/2012,Active,Active,Sales and Distribution       ,Brannon Miller,Fully Meets,14,Kibra,Sheer Logic,2,15,2,17,386.06538461538463,6563.111538461539
220,"Petrowsky, Thelma",236030,118507,09/16/84,F,Married,11/10/2014,Active,Active,Customer Experince,Simon Roup,Exceeds,16,Kilifi,Fine Media,3,12,5,17,455.79615384615386,7748.534615384616
221,"Pham, Hong",232900,36808,03/06/88,M ,Married,7/5/2011,11/30/2012,Voluntarily Terminated,Sales and Distribution       ,Brannon Miller,Fully Meets,13,Kariobangi,Fine Media,2,13,6,19,141.56923076923076,2689.8153846153846
222,"Pitt, Brad ",236128,54109,11/23/81,M ,Single,11/5/2007,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,15,Murang’a,Fine Media,1,20,6,26,208.11153846153846,5410.9
223,"Potts, Xana",236651,71223,08/29/88,F,Married,1/9/2012,Active,Active,Sales,Lynn Daneault,Fully Meets,9,Westlands,Sheer Logic,4,17,2,19,273.93461538461537,5204.757692307692
224,"Power, Morissa",232378,63985,10/15/84,F,Divorced,5/16/2011,6/4/2018,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,14,Mumias,Fine Media,4,12,6,18,246.09615384615384,4429.7307692307695
225,"Punjabhi, Louis  ",232273,93784,06/19/61,M ,Single,1/6/2014,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,14,Lamu,Sheer Logic,2,7,3,10,360.7076923076923,3607.076923076923
226,"Purinton, Janine",236192,66362,09/22/70,F,Divorced,9/24/2012,6/18/2013,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,16,Kericho,Sheer Logic,4,20,7,27,255.23846153846154,6891.4384615384615
227,"Quinn, Sean",237971,71549,11/06/84,M ,Married,2/21/2011,8/15/2015,Voluntarily Terminated,Human Resource,Janet King,Fully Meets,4,South C,Sheer Logic,4,6,3,9,275.1884615384615,2476.6961538461537
228,"Rachael, Maggie",239443,96826,05/12/80,F,Married,10/2/2016,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,10,Embakasi,Sheer Logic,4,14,3,17,372.4076923076923,6330.930769230768
229,"Rarrick, Quinn",237943,108901,12/31/84,M ,Divorced,9/26/2011,4/7/2018,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Fully Meets,19,Kirinyaga,Sheer Logic,4,6,3,9,418.85,3769.65
230,"Ren, Kylo",233111,106557,10/12/54,M ,Married,5/12/2014,Active,Active,Sales,John Smith,Fully Meets,4,Nyeri,Sheer Logic,4,14,6,20,409.8346153846154,8196.692307692309
231,"Rhoads, Thomas",233333,38551,07/22/82,M ,Divorced,5/16/2011,1/15/2016,Voluntarily Terminated,Sales and Distribution       ,Elijiah Gray,Fully Meets,11,Vihiga,Sheer Logic,1,11,7,18,148.27307692307693,2668.915384615385
232,"Rivera, Haley  ",231154,54785,01/12/73,F,Married,11/28/2011,Active,Active,Sales and Distribution       ,Webster Butler,Exceeds,16,Mombasa,Sheer Logic,3,11,4,15,210.71153846153845,3160.6730769230767
233,"Roberson, May",231461,133701,09/05/81,F,Divorced,9/26/2011,10/22/2011,Voluntarily Terminated,Sales and Distribution       ,David Stanley,Fully Meets,10,Murang’a,Fine Media,2,9,3,12,514.2346153846154,6170.815384615385
234,"Robertson, Peter",238895,136358,07/03/72,M ,Married,7/5/2011,2/8/2012,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,13,Busia,Sheer Logic,2,7,2,9,524.4538461538461,4720.084615384615
235,"Robinson, Alain  ",236985,70844,01/07/74,M ,Married,1/10/2011,1/26/2016,Voluntarily Terminated,Sales and Distribution       ,Amy Dunn,Fully Meets,11,Kiambu,Sheer Logic,3,8,7,15,272.4769230769231,4087.153846153846
236,"Robinson, Cherly",231114,71346,01/07/85,F,Married,1/10/2011,5/17/2016,Terminated for Cause,Sales and Distribution       ,Ketsia Liebig,Needs Improvement,16,Karen,Sheer Logic,4,13,2,15,274.4076923076923,4116.115384615385
237,"Robinson, Elias",233524,134768,01/28/85,M ,Widowed,7/8/2013,Active,Active,Sales and Distribution       ,Brannon Miller,Exceeds,4,Umoja,Fine Media,1,16,4,20,518.3384615384615,10366.76923076923
238,"Roby, Lori ",234198,35241,10/11/81,F,Married,2/16/2015,Active,Active,Customer Experince,Simon Roup,Fully Meets,15,Kariobangi,Sheer Logic,3,7,6,13,135.5423076923077,1762.0500000000002
239,"Roehrich, Bianca",231447,69457,05/27/73,F,Single,1/5/2015,11/10/2018,Voluntarily Terminated,Customer Experince,Simon Roup,Fully Meets,12,Mombasa,Sheer Logic,1,18,7,25,267.14230769230767,6678.5576923076915
240,"Roper, Katie",231639,71766,11/21/72,F,Single,1/7/2017,Active,Active,Customer Experince,Brian Champaigne,Fully Meets,17,Bomet,Sheer Logic,4,6,7,13,276.0230769230769,3588.3
241,"Rose, Ashley  ",239406,40620,12/05/74,F,Separated,1/6/2014,Active,Active,Sales and Distribution       ,David Stanley,Fully Meets,8,Murang’a,Fine Media,3,12,5,17,156.23076923076923,2655.9230769230767
242,"Rossetti, Bruno",234112,142227,03/18/87,M ,Single,4/4/2011,8/13/2018,Voluntarily Terminated,Sales and Distribution       ,Kissy Sullivan,Fully Meets,4,Mumias,Fine Media,2,8,3,11,547.026923076923,6017.296153846153
243,"Roup,Simon",235524,59375,04/05/73,M ,Single,1/20/2013,Active,Active,Customer Experince,Jennifer Zamora,Fully Meets,13,Kirinyaga,Fine Media,3,6,2,8,228.3653846153846,1826.923076923077
244,"Ruiz, Ricardo",232972,146972,01/04/64,M ,Divorced,1/9/2012,11/4/2015,Voluntarily Terminated,Customer Experince,Jennifer Zamora,Fully Meets,8,Mombasa,Sheer Logic,2,19,5,24,565.276923076923,13566.646153846152
245,"Saada, Adell",236891,130014,07/24/86,F,Married,11/5/2012,Active,Active,Human Resource,Alex Sweetwater,Fully Meets,2,Nakuru,Fine Media,1,14,6,20,500.05384615384617,10001.076923076924
246,"Saar-Beckles, Melinda",234637,133943,06/06/68,F,Single,7/4/2016,Active,Active,Sales and Distribution       ,Kelley Spirea,Needs Improvement,4,Mombasa,Fine Media,1,8,4,12,515.1653846153846,6181.984615384616
247,"Sadki, Nore  ",239955,60324,12/21/74,M ,Single,1/5/2009,7/30/2018,Voluntarily Terminated,Sales and Distribution       ,Michael Albert,Fully Meets,7,Lang’ata,Fine Media,4,13,6,19,232.01538461538462,4408.292307692308
248,"Sahoo, Adil",237495,116004,04/26/86,M ,Married,8/30/2010,Active,Active,Sales and Distribution       ,Kelley Spirea,Fully Meets,13,Bungoma,Sheer Logic,3,8,7,15,446.16923076923075,6692.538461538461
